RUN,TOOL,OLD_TAG,NEW_TAG,SYNC_LATENCY_MS
1758235398973,flux-demo,1.25.5,1.27.0,438
1758235501809,flux-demo,1.25.5,1.27.0,551
1758235504224,argocd-demo,1.27.0,1.25.5,369
1758235506480,flux-demo,1.25.5,1.27.0,433
1758235508728,argocd-demo,1.27.0,1.25.5,362
1758235511046,flux-demo,1.25.5,1.27.0,417
1758235513338,argocd-demo,1.27.0,1.25.5,455
1758235515739,flux-demo,1.25.5,1.27.0,440
1758235518134,argocd-demo,1.27.0,1.25.5,355
1758235520729,flux-demo,1.25.5,1.27.0,495
1758235523066,argocd-demo,1.27.0,1.25.5,390
1758235622860,flux-demo,1.25.5,1.27.0,451
1758235625225,argocd-demo,1.27.0,1.25.5,419
1758235627575,flux-demo,1.25.5,1.27.0,390
1758235629815,argocd-demo,1.27.0,1.25.5,420
1758235632159,flux-demo,1.25.5,1.27.0,489
1758235634684,argocd-demo,1.27.0,1.25.5,428
1758235637072,flux-demo,1.25.5,1.27.0,392
1758235639311,argocd-demo,1.27.0,1.25.5,483
1758235641651,flux-demo,1.25.5,1.27.0,500
1758235644126,argocd-demo,1.27.0,1.25.5,428
1758235658129,flux-demo,1.25.5,1.27.0,359
1758235660417,argocd-demo,1.27.0,1.25.5,389
1758235662793,flux-demo,1.25.5,1.27.0,442
1758235665112,argocd-demo,1.27.0,1.25.5,406
1758235667626,flux-demo,1.25.5,1.27.0,381
1758235670010,argocd-demo,1.27.0,1.25.5,372
1758235672582,flux-demo,1.25.5,1.27.0,613
1758235675343,argocd-demo,1.27.0,1.25.5,372
1758235677656,flux-demo,1.25.5,1.27.0,402
1758235680046,argocd-demo,1.27.0,1.25.5,384
1758238965924,flux-demo,1.25.5,1.27.0,629
1758238969061,argocd-demo,1.27.0,1.25.5,478
1758238971396,flux-demo,1.25.5,1.27.0,459
1758238973863,argocd-demo,1.27.0,1.25.5,448
1758238976307,flux-demo,1.25.5,1.27.0,441
1758238978667,argocd-demo,1.27.0,1.25.5,385
1758238981102,flux-demo,1.25.5,1.27.0,505
1758238983464,argocd-demo,1.27.0,1.25.5,417
1758238985806,flux-demo,1.25.5,1.27.0,358
1758238988000,argocd-demo,1.27.0,1.25.5,347
1758238995264,flux-demo,1.25.5,1.27.0,441
1758238997648,argocd-demo,1.27.0,1.25.5,455
1758239000060,flux-demo,1.25.5,1.27.0,463
1758239002578,argocd-demo,1.27.0,1.25.5,417
1758239004898,flux-demo,1.25.5,1.27.0,429
1758239007172,argocd-demo,1.27.0,1.25.5,405
1758239009579,flux-demo,1.25.5,1.27.0,1127
1758239012694,argocd-demo,1.27.0,1.25.5,464
1758239015102,flux-demo,1.25.5,1.27.0,358
1758239017379,argocd-demo,1.27.0,1.25.5,362
1758242682982,flux-demo,1.25.5,1.27.0,767
1758242685550,argocd-demo,1.27.0,1.25.5,420
1758242687909,flux-demo,1.25.5,1.27.0,413
1758242690186,argocd-demo,1.27.0,1.25.5,422
1758242692504,flux-demo,1.25.5,1.27.0,364
1758242694840,argocd-demo,1.27.0,1.25.5,414
1758242697116,flux-demo,1.25.5,1.27.0,460
1758242699612,argocd-demo,1.27.0,1.25.5,470
1758242702010,flux-demo,1.25.5,1.27.0,429
1758242704693,argocd-demo,1.27.0,1.25.5,381
